session,root,interval,instrument,group,given_answer,correct_answer,difference,bin_difference,ascending
6,66,57,singer,groupB,-8,-9,1,False,False
6,53,62,singer,groupB,6,9,3,False,True
6,66,62,singer,groupB,-7,-4,3,False,False
6,57,66,singer,groupB,7,9,2,False,True
6,58,65,singer,groupB,8,7,1,False,True
6,63,54,singer,groupB,-8,-9,1,False,False
6,58,57,singer,groupB,-1,-1,0,True,False
6,57,68,singer,groupB,11,11,0,True,True
6,69,65,singer,groupB,-7,-4,3,False,False
6,53,64,singer,groupB,6,11,5,False,True
6,65,54,singer,groupB,-11,-11,0,True,False
6,64,54,singer,groupB,-9,-10,1,False,False
6,59,69,singer,groupB,12,10,2,False,True
6,59,66,singer,groupB,10,7,3,False,True
6,68,57,singer,groupB,-10,-11,1,False,False
6,56,62,singer,groupB,6,6,0,True,True
6,62,52,singer,groupB,-10,-10,0,True,False
6,61,61,singer,groupB,0,0,0,True,False
6,65,58,singer,groupB,-4,-7,3,False,False
6,67,55,vocal,groupA,-10,-12,2,False,False
6,55,63,vocal,groupA,8,8,0,True,True
6,53,55,vocal,groupA,-2,2,4,False,True
6,57,52,vocal,groupA,-3,-5,2,False,False
6,60,60,vocal,groupA,0,0,0,True,False
6,53,65,vocal,groupA,7,12,5,False,True
6,59,67,vocal,groupA,9,8,1,False,True
6,53,58,vocal,groupA,4,5,1,False,True
6,61,58,vocal,groupA,1,-3,4,False,False
6,69,67,vocal,groupA,-2,-2,0,True,False
6,54,57,vocal,groupA,5,3,2,False,True
6,64,56,vocal,groupA,-5,-8,3,False,False
6,58,62,vocal,groupA,5,4,1,False,True
6,62,66,vocal,groupA,4,4,0,True,True
6,54,52,vocal,groupA,-2,-2,0,True,False
6,69,66,vocal,groupA,-3,-3,0,True,False
6,67,69,vocal,groupA,4,2,2,False,True
6,56,68,vocal,groupA,12,12,0,True,True
6,52,53,vocal,groupA,2,1,1,False,True
6,53,56,vocal,groupA,4,3,1,False,True
7,59,55,singer,groupB,-1,-4,3,False,False
7,54,63,singer,groupB,10,9,1,False,True
7,62,53,singer,groupB,-11,-9,2,False,False
7,58,58,singer,groupB,0,0,0,True,False
7,66,55,singer,groupB,-11,-11,0,True,False
7,66,55,singer,groupB,-11,-11,0,True,False
7,55,65,singer,groupB,7,10,3,False,True
7,61,52,singer,groupB,-8,-9,1,False,False
7,59,58,singer,groupB,-1,-1,0,True,False
7,52,61,singer,groupB,7,9,2,False,True
7,53,60,singer,groupB,7,7,0,True,True
7,54,65,singer,groupB,11,11,0,True,True
7,63,53,singer,groupB,-10,-10,0,True,False
7,63,57,singer,groupB,-8,-6,2,False,False
7,67,57,singer,groupB,-10,-10,0,True,False
7,58,54,singer,groupB,-6,-4,2,False,False
